bf_nr;Bahnsteig_Nr;Bahnsteig_Hoehe_cm;Nettobahnsteiglaenge_m
8263;1;38;115
8263;2;38;115
2616;1;38;115
6618;1;38;113
6618;2;38;123
33;1;38;115
102;1;38;110
106;1;35;95
127;1;55;136
127;2;55;220
138;2;55;100
153;1;55;80
154;1/2;55;88
155;1/2;55;100
162;1/2;55;100
165;1;38;120
4666;1;55;140
205;3;36;225
205;4/5;35;232
8216;1;55;80
7463;1;55;114
7463;2;35;110
255;1;38;120
270;1;35;86
283;1;38;60
3487;1;55;100
3487;2;55;100
8223;1;55;100
305;1;35;218
305;2;35;263
5587;1/2;55;80
362;1;55;95
407;1;25;120
434;1;38;120
445;1;38;60
8217;1;55;80
620;1;38;109
620;2;38;108
8218;1;55;110
6502;1;55;110
657;1;55;101
697;1;35;141
711;1;55;80
745;1;35;50
745;2;38;63
848;1;55;80
930;1;35;94
930;2;35;88
931;1;35;50
932;1;38;105
932;2;24;101
985;1;55;144
985;2;35;91
990;1;55;120
1001;1;38;100
1001;2;55;100
8219;1;55;80
1018;1;55;93
1018;2;55;93
1023;1;38;110
1047;1;55;80
1051;1;55;80
5210;1;35;146
1094;1;96;30
1228;1;35;76
1232;1;55;80
1233;1;35;59
1267;1;55;80
1272;1;35;137
1460;1;35;154
1466;1;76;120
1474;1;38;120
1474;2;38;60
8209;1;55;120
1477;1;35;125
1477;2;35;55
1490;1;55;111
1524;1;55;100
1524;2;55;100
8220;1;55;70
1531;1;35;100
1559;1;35;97
1600;1;38;60
1629;1;55;80
1648;1;55;80
1649;1;55;80
1656;1;38;220
1661;1;55;101
1745;1;55;80
1745;2;55;80
1750;1;38;100
1766;1;55;106
1786;1;36;112
8221;1;55;80
1820;1;55;80
1837;1;76;120
1841;1;55;114
1841;2;55;101
8302;1;55;101
7512;1;35;101
1920;1;35;130
1928;2;38;120
1928;3;38;120
1933;1;55;100
1964;1;24;151
1979;1;38;111
1982;1;38;60
1982;2;38;60
2004;1;55;100
2004;2;55;100
2010;1;35;179
2010;2;35;131
2010;3;35;167
2015;1;38;120
2041;1;55;120
2041;2;35;104
7547;1;55;120
2137;1;38;157
2205;1;38;110
2396;1;55;100
2404;1;25;60
2481;1;35;68
2567;1/2;55;80
2578;1;55;100
2612;1;35;120
7549;1;38;120
2690;1;55;80
2690;2;55;80
2754;1;38;100
2754;3;38;60
2801;1;35;123
2845;1;38;90
2899;1;38;110
2918;2;38;60
2918;3;38;60
2940;1;38;50
2968;1;35;147
3052;1;38;120
3059;1;55;120
3059;2/3;55;120
8222;1;55;220
3116;2;38;125
3128;1;55;150
3137;1;55;60
3137;2;30;101
3157;1;55;80
3182;1;38;120
7550;1;35;120
3250;1;38;168
3262;1;38;84
3262;2;38;84
3270;1;38;167
3270;2;38;137
897;1;35;117
3371;1;55;150
3371;2;55;145
3371;3;55;130
3372;1;38;100
7490;1;55;128
8246;1;55;100
3514;1;55;120
3577;1;38;132
3579;1;38;120
3588;1;38;120
3588;2;38;120
3601;1;55;80
3624;1;34;65
3659;1;55;80
3678;1;38;100
3702;1 (Flachstr.);96;16,3
3702;1/R (BB);130;18
3791;1;55;80
3792;1;55;80
3921;1;55;55
3948;1;35;100
3958;1;35;156
3958;2;35;117
3959;1;30;70
3959;2;32;150
3975;1;35;220
3975;2;35;210
3998;1;55;120
4000;1;35;60
4030;1;55;80
4045;1;55;60
7494;1;38;100
4089;1;55;60
4110;1;38;193
4110;2;38;300
850;1;55;100
4137;1;35;106
4201;1;55;304
4201;2;76;304
4201;3;55;276
4201;4;55;215
4272;1;55;101
4339;1;55;80
4398;1;22;110
4407;1;38;54
4417;1;55;120
4417;2;35;127
4430;1;38;236
4459;1;35;60
4530;1;38;114
4530;2;35;121
8224;1;55;70
4556;1;35;160
4636;1;38;112
4668;1;38;137
4668;2;38;195
4669;1;38;110
4707;1;96;30
4716;1 (Talstr.);38;120
4716;1/R (BB);130;17,6
4716;2 (BB);110;7,3
4757;1;55;100
4757;2;55;100
8225;1;55;80
4758;1;55;100
