Bundesland;"Regional-
bereich";Bf. Nr.;Station;"Bf
DS 100
Abk.";"Kat.
Vst";Straße;PLZ;Ort;Aufgabenträger;"Ver-
kehrs-
verb.";"Fern-
verkehr";"Nah-
verkehr"
Hessen;Kurhessenbahn (KHB);8263;Ahnatal-Casselbreite;FATC;6;;;;Nordhessischer Verkehrsverbund;NVV;nein;ja
Hessen;Kurhessenbahn (KHB);2616;Ahnatal-Heckershausen;FHEH;6;;;;Nordhessischer Verkehrsverbund;NVV;nein;ja
Hessen;Kurhessenbahn (KHB);6618;Ahnatal-Weimar;FWEI;6;;;;Nordhessischer Verkehrsverbund;NVV;nein;ja
Bayern;Südostbayernbahn (SOB);33;Aich (Niederbay);MAIC;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Hessen;Kurhessenbahn (KHB);102;Altenhasungen;FAHN;6;;;;Nordhessischer Verkehrsverbund;NVV;nein;ja
Bayern;Südostbayernbahn (SOB);106;Altenmarkt (Alz);MATM;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Bayern;Südostbayernbahn (SOB);127;Altötting;MAT;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Bayern;Westfrankenbahn (WFB);138;Amorbach;NAMB;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Sachsen;Erzgebirgsbahn (EGB);153;Annaberg-Buchholz Mitte;DABM;6;;;;Zweckverband Verkehrsverbund Mittelsachsen;ZVMS;nein;ja
Sachsen;Erzgebirgsbahn (EGB);154;Annaberg-Buchholz Süd;DAB;6;;;;Zweckverband Verkehrsverbund Mittelsachsen;ZVMS;nein;ja
Sachsen;Erzgebirgsbahn (EGB);155;Annaberg-Buchholz unt Bahnhof;DABU;6;;;;Zweckverband Verkehrsverbund Mittelsachsen;ZVMS;nein;ja
Sachsen;Erzgebirgsbahn (EGB);162;Antonsthal;DATL;6;;;;Zweckverband Verkehrsverbund Mittelsachsen;ZVMS;nein;ja
Bayern;Südostbayernbahn (SOB);165;Anzenkirchen;MAK;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Bayern;Westfrankenbahn (WFB);4666;Aschaffenburg-Obernau;NOBN;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Sachsen;Erzgebirgsbahn (EGB);205;Aue (Sachs);DAU;5;;;;Zweckverband Verkehrsverbund Mittelsachsen;ZVMS;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8216;Aue (Sachs) Erzgebirgsstadion;DAUS;6;;;;Zweckverband Verkehrsverbund Mittelsachsen;ZVMS;nein;ja
Hessen;Kurhessenbahn (KHB);7463;Bad Arolsen;FAR;6;;;;Nordhessischer Verkehrsverbund;NVV;nein;ja
Bayern;Südostbayernbahn (SOB);255;Bad Birnbach;MBIB;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Bayern;Südostbayernbahn (SOB);270;Bad Empfing;MBEP;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Bayern;Südostbayernbahn (SOB);283;Bad Höhenstadt;MBHT;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);3487;Bad Laasphe;ELSP;6;;;;Zweckverband Personennahverkehr Westfalen-Süd;ZWS;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);8223;Bad Laasphe-Niederlaasphe;ENL;6;;;;Zweckverband Personennahverkehr Westfalen-Süd;ZWS;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);305;Bad Mergentheim;TBMR;6;;;;Nahverkehrsgesellschaft Baden-Württemberg;NVBW;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5587;Bad Schlema;DSUB;6;;;;Zweckverband Verkehrsverbund Mittelsachsen;ZVMS;nein;ja
Hessen;Kurhessenbahn (KHB);362;Bad Wildungen;FBWD;6;;;;Nordhessischer Verkehrsverbund;NVV;nein;ja
Sachsen;Erzgebirgsbahn (EGB);407;Bärenstein (Kr Annaberg);DBS;6;;;;Zweckverband Verkehrsverbund Mittelsachsen;ZVMS;nein;ja
Bayern;Südostbayernbahn (SOB);434;Bayerbach;MBYB;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);445;Bechstedt-Trippstein;UBET;6;;;;Nahverkehrsservicegesellschaft Thüringen;NVS;nein;ja
Bayern;Südostbayernbahn (SOB);8217;Bibelöd;MBID;6;;;;Bayrische Eisenbahn Gesellschaft;BEG;nein;ja
Hessen;Kurhessenbahn (KHB);620;Biedenkopf;FBIK;6;;;;Rhein-Main-Verkehrsverbund;RMV;nein;ja
Hessen;Kurhessenbahn (KHB);8218;Biedenkopf Schulzentrum;FBIZ;6;;;;Rhein-Main-Verkehrsverbund;RMV;nein;ja
Hessen;Kurhessenbahn (KHB);6502;Biedenkopf-Wallau;FWA;6;;;;Rhein-Main-Verkehrsverbund;RMV;nein;ja
Hessen;Kurhessenbahn (KHB);657;Birkenbringhausen;FBBH;6;;;;Nordhessischer Verkehrsverbund;NVV;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);697;Blaufelden;TBLF;6;;;;Nahverkehrsgesellschaft Baden-Württemberg;NVBW;nein;ja
