BahnhofsId;Bahnhofname;Position;Latitude;Longitude
SNode-1470482;Flensburg                                         ;54.773972323885 9.436112337536;54.773972323885;9.436112337536
SNode-1470515;Kiel Hbf                                          ;54.314873425916 10.131438506488;54.314873425916;10.131438506488
SNode-1470523;Kiel Hbf                                          ;54.314863789498 10.132014812370;54.314863789498;10.132014812370
SNode-1470545;Meimersdorf Ost                                   ;54.292480346787 10.134461650143;54.292480346787;10.134461650143
SNode-1470633;Lübeck Hbf                                        ;53.867448356436 10.669974143876;53.867448356436;10.669974143876
SNode-1470634;Lübeck Hbf                                        ;53.867866725224 10.669512813946;53.867866725224;10.669512813946
SNode-1470647;Lübeck-Travemünde Strand                          ;53.965025091333 10.876117784172;53.965025091333;10.876117784172
SNode-1470817;Klanxbüll                                         ;54.861824712243 8.676915589240;54.861824712243;8.676915589240
SNode-1470836;Hamburg-Altona                                    ;53.552561160842 9.934676157830;53.552561160842;9.934676157830
SNode-1470841;Kiel Hbf                                          ;54.314937867823 10.131924450102;54.314937867823;10.131924450102
SNode-1470875;Hamburg Diebsteich                                ;53.569006535957 9.934241720660;53.569006535957;9.934241720660
SNode-1470878;Thesdorf                                          ;53.644513317688 9.813720362866;53.644513317688;9.813720362866
SNode-1470924;Hamburg Dammtor (S-Bahn)                          ;53.560919223293 9.989741039006;53.560919223293;9.989741039006
SNode-1470981;Hamburg Süderelbbrücke                            ;53.479431982195 10.001268538844;53.479431982195;10.001268538844
SNode-1470984;Meckelfeld                                        ;53.421451364872 10.033468206012;53.421451364872;10.033468206012
SNode-1471002;Hamburg Königstraße                               ;53.547846228603 9.944054446924;53.547846228603;9.944054446924
SNode-1471014;Hamburg-Hammerbrook                               ;53.546442352888 10.023713636373;53.546442352888;10.023713636373
SNode-1471019;Hamburg-Neuwiedenthal                             ;53.473054297720 9.877477988296;53.473054297720;9.877477988296
SNode-1471024;Hamburg-Harburg (S-Bahn)                          ;53.456907857213 9.991829592298;53.456907857213;9.991829592298
SNode-1471028;Hamburg-Heimfeld                                  ;53.465449096701 9.963187845699;53.465449096701;9.963187845699
SNode-1471033;Hamburg-Harburg (S-Bahn)                          ;53.456746985053 9.991875260680;53.456746985053;9.991875260680
SNode-1471037;Hamburg-Heimfeld                                  ;53.465315061743 9.963149783430;53.465315061743;9.963149783430
SNode-1471071;Bremerhaven-Speckenbüttel                         ;53.591752523829 8.591240466035;53.591752523829;8.591240466035
SNode-1471129;Oldenburg (Oldb) Hbf                              ;53.144108338412 8.222689027628;53.144108338412;8.222689027628
SNode-1471175;Nordenham                                         ;53.483685077267 8.487468420250;53.483685077267;8.487468420250
SNode-1471196;Wilhelmshaven                                     ;53.518761741502 8.115716979482;53.518761741502;8.115716979482
SNode-1471205;Wangerooge                                        ;53.787774951479 7.899070991986;53.787774951479;7.899070991986
SNode-1471209;Wangerooge Saline                                 ;53.789188785554 7.877754677922;53.789188785554;7.877754677922
SNode-1471213;Wilhelmshaven Ölweiche                            ;53.596532546065 8.081901637416;53.596532546065;8.081901637416
SNode-1471230;Norden                                            ;53.586762877582 7.221086555854;53.586762877582;7.221086555854
SNode-1471255;Osnabrück Stahlwerkskurve                         ;52.273425788440 8.090326749434;52.273425788440;8.090326749434
SNode-1471263;Hannover Hbf                                      ;52.377424713269 9.742200913798;52.377424713269;9.742200913798
SNode-1471299;Hannover Hbf                                      ;52.376671797185 9.741244499127;52.376671797185;9.741244499127
SNode-1471303;Hannover Hbf                                      ;52.377095780702 9.741783212942;52.377095780702;9.741783212942
SNode-1471312;Hannover-Hainholz                                 ;52.397333806933 9.701467050095;52.397333806933;9.701467050095
SNode-1471334;Soltau (Han)                                      ;52.982886547462 9.831078462678;52.982886547462;9.831078462678
SNode-1471611;Göttingen                                         ;51.536670009006 9.926597360782;51.536670009006;9.926597360782
SNode-1471741;Northeim (Han)                                    ;51.703214928050 9.986916415651;51.703214928050;9.986916415651
SNode-1471788;Vlotho                                            ;52.172463040136 8.863974167635;52.172463040136;8.863974167635
SNode-1471800;Braunschweig Hbf                                  ;52.252031525300 10.540562009379;52.252031525300;10.540562009379
SNode-1471805;Braunschweig Hbf                                  ;52.252306080816 10.540104313301;52.252306080816;10.540104313301
SNode-1471815;Vienenburg                                        ;51.954910548706 10.561749890729;51.954910548706;10.561749890729
SNode-1471890;Salzgitter-Bad                                    ;52.049802784871 10.372328237058;52.049802784871;10.372328237058
SNode-1471894;Bad Gandersheim                                   ;51.867387973187 10.019973930936;51.867387973187;10.019973930936
SNode-1471917;Uelzen                                            ;52.970065826229 10.552908107592;52.970065826229;10.552908107592
