Bundesland;Bahnhofsmanagement;BahnhofNr;Station;DS100;Bahnhofskategorie;Strasse;PLZ;Ort;Aufgabenträger;Verkehrsverb;Fernverkehr;Nahverkehr;lat;lon
Hamburg;Hamburg;2517;Hamburg-Altona;AA;1;Scheel-Plessen-Str. 17;22765;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;ja;ja;53.5537770753625;9.93518114089966
Niedersachsen;Hamburg;20;Agathenburg;AABG;6;Bahnhofstr. 7 ;21684;Agathenburg;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.5641189843671;9.53117609024047
Schleswig-Holstein;Schleswig-Holstein;7225;Achterwehr;AACW;7;Dorfstraße;24239;Achterwehr;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;;nein;nein;54.3150796556221;9.964337348938
Schleswig-Holstein;Schleswig-Holstein;191;Ascheberg (Holst);AAG;5;Bahnhofstr.8;24326;Ascheberg (Holstein);LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;54.1485526980137;10.3402257760366
Schleswig-Holstein;Hamburg;229;Aumühle;AAH;4;Bahnhofstr. 1;21521;Aumühle;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;HVV;nein;ja;53.5299230988564;10.314471244812
Schleswig-Holstein;Schleswig-Holstein;8169;Ahrensburg-Gartenholz;AAHG;5;;22926;Ahrensburg;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.6887446767122;10.2518400996924
Schleswig-Holstein;Schleswig-Holstein;27;Ahrensburg;AAHR;4;Bahnhofstr. 13;22926;Ahrensburg;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.6689830976172;10.2357843518257
Hamburg;Hamburg;2458;Hamburg Airport (Flughafen);AAI;4;Flughafenstraße 1;23335;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.6325966939971;10.0066655874252
Schleswig-Holstein;Schleswig-Holstein;41;Albersdorf;AAL;7;Bahnhofstr. 1;25767;Albersdorf;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.1461697552048;9.29245591163636
Hamburg;Hamburg;7979;Allermöhe;AALH;4;Fleetplatz 1;21035;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.4903416179024;10.159109747827
Niedersachsen;Hamburg;195;Ashausen;AASN;6;An der Bahn 1;21435;Stelle;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.3688293408431;10.1453304290772
Schleswig-Holstein;Schleswig-Holstein;97;Altengörs;AAT;7;Bahnhofstr.30;23818;Neuengörs;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.8991126887609;10.3551244735718
Schleswig-Holstein;Schleswig-Holstein;2996;Aukrug;AAU;7;Bahnhofstraße 1;24613;Aukrug;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.0824331045842;9.78577226400375
Hamburg;Hamburg;78;Alte Wöhr;AAW;4;Alte Wöhr 20;22307;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.598068505425;10.0352954864502
Hamburg;Hamburg;687;Blankenese;AB;3;Erik-Blumenfeld-Platz 29;22587;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.56450003427;9.81522631645203
Niedersachsen;Hamburg;402;Bardowick;ABAD;6;Bahnhofstraße;21357;Bardowick;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.2902865216017;10.372284142499
Schleswig-Holstein;Schleswig-Holstein;408;Bargteheide;ABAE;4;Bahnhofstr. 9;22941;Bargteheide;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.7281019717352;10.2689312447712
Hamburg;Hamburg;376;Bahrenfeld;ABAF;4;Hegarstr. 1;22761;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5600723108243;9.91109297825743
Hamburg;Hamburg;412;Barmbek;ABAP;4;Fuhlsbüttler Str. 91;22305;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5873185993071;10.0447023842541
Schleswig-Holstein;Schleswig-Holstein;929;Büchen;ABCH;3;Lauenburger Str.;21514;Büchen;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;ja;ja;53.4751988135128;10.6229111552238
Schleswig-Holstein;Schleswig-Holstein;470;Beldorf;ABE;7;Bahnhofsweg 1;25557;Beldorf;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.1252517730231;9.35637785542399
Niedersachsen;Hamburg;433;Bavendorf;ABF;7;An der Kreisstraße / OT Bavendorf;21401;Thomasburg;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.1875283301584;10.6292474269867
Hamburg;Hamburg;2518;Hamburg-Bergedorf;ABG;3;Weidenbaumsweg 14;21029;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;ja;ja;53.4896041588788;10.2059054374695
Schleswig-Holstein;Schleswig-Holstein;521;Beringstedt;ABGS;7;Am Bahnhof 7;25575;Beringstedt;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.1136809398786;9.53769473457385
Niedersachsen;Braunschweig;625;Bienenbüttel;ABIL;5;Bahnhofstr.1;29553;Bienenbüttel;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.1423531825434;10.4842382669449
